,composite,nowcast_prob,lead_prob
1994-02-28,0.6771123131084533,0.013745448865547513,0.014085841944446046
1994-03-31,1.0941260432416082,0.006018843788533563,0.010546107169031508
1994-04-30,0.9651809819555243,0.008277084735239151,0.007334120008209821
1994-05-31,1.0998312408081385,0.005965948424533836,0.010250356139685276
1994-06-30,1.117041148013098,0.005692187705336996,0.011049156644883042
1994-07-31,1.075726358377114,0.006217179592574813,0.011190043958768162
1994-08-31,1.1815657803678363,0.004769664668630215,0.014381932972646385
1994-09-30,1.1259032378876228,0.005461392599893532,0.013104245718997414
1994-10-31,1.1534238039005364,0.005090825688608212,0.014095981589836163
1994-11-30,1.1542390530254043,0.004977880149430387,0.016431099102955066
1994-12-31,0.9824631419996493,0.0067616311943389925,0.026844487803472813
1995-01-31,1.2446944275708176,0.003684842356877309,0.03195433354166964
1995-02-28,1.1087529613323441,0.004747054427159326,0.04483577587672986
1995-03-31,0.7964815756899819,0.008972624369178459,0.05572495617080579
1995-04-30,0.5684138227153863,0.014060734721066717,0.059312831906108886
1995-05-31,0.6065544954312072,0.01229112480643044,0.08630825026112016
1995-06-30,0.5394688046891519,0.013555443418527944,0.10576684463835373
1995-07-31,0.4269987418174497,0.017192569394461867,0.09356652934408444
1995-08-31,0.4942195022909652,0.015597450010821553,0.07701992278200737
1995-09-30,0.5538048276354904,0.01360119146457794,0.08783211967774263
1995-10-31,0.35159559986597133,0.01959592366396816,0.10004508644254573
1995-11-30,0.3433729277712472,0.019426620424214183,0.11562460603085994
1995-12-31,0.3121423239593175,0.020599033215101946,0.11517899038027402
1996-01-31,-0.012719286366680406,0.03688022368764261,0.1080069561866856
1996-02-29,0.3648080622410233,0.01971511927639502,0.08243202472699873
1996-03-31,0.4000972327029667,0.019254400307760364,0.062207062175855775
1996-04-30,0.5569591119425614,0.014763913033697755,0.04951757995142138
1996-05-31,0.6518255555779946,0.012522543694729485,0.04263225297460209
1996-06-30,0.695939205270866,0.011621674190260178,0.038827153177534435
1996-07-31,0.7678842430055957,0.009889874734748422,0.04328205139583618
1996-08-31,0.6702044270742292,0.011849451005018193,0.04848573017869046
1996-09-30,0.614278341282873,0.013506399723278363,0.042174787176200226
1996-10-31,0.6734142518335847,0.011715868340631866,0.05012403728802432
1996-11-30,0.7531311806385486,0.009458226494056378,0.0700615114615059
1996-12-31,0.6094670510279798,0.013037140585423556,0.05737522725781356
1997-01-31,0.9506789847035869,0.006593269400017975,0.049991089695515724
1997-02-28,0.906553573218571,0.007103103469352681,0.056583908272679125
1997-03-31,0.9394171677421909,0.006751232045921696,0.05014505475666331
1997-04-30,0.922071306369879,0.007183235204119936,0.04272459552203064
1997-05-31,0.7314567363761943,0.010573215211192956,0.04550414714949222
1997-06-30,0.7805128824882984,0.009443336275666448,0.04955326602950355
1997-07-31,0.9695598448229703,0.0059769877114095125,0.07056185927653993
1997-08-31,0.923060653948011,0.006602004447790142,0.07097748644501295
1997-09-30,0.9873968627759648,0.00583393803869209,0.06483345824134468
1997-10-31,0.9784541968471326,0.005767752473268869,0.07739480647590488
1997-11-30,0.9484966530223822,0.005867191872424981,0.10056341701443838
1997-12-31,1.0368537024131155,0.004764450877326334,0.10782556650551539
1998-01-31,1.0436152984370164,0.004594660057238085,0.11976264626071054
1998-02-28,0.9507243390545994,0.005625271474014233,0.1216283262496825
1998-03-31,0.8150023509576864,0.007687939210102406,0.10937891873356415
1998-04-30,0.8062508477703957,0.00790968400654231,0.10368259232273797
1998-05-31,0.9227146894384243,0.006130474941463656,0.10712989018046276
1998-06-30,0.7680135358611012,0.008348173819647598,0.11915846843079292
1998-07-31,0.4917495252090871,0.014559966593707858,0.11964488561943665
1998-08-31,0.5028616155617877,0.014123677177950274,0.1256293052542533
1998-09-30,0.2733895658360988,0.02116844144950205,0.1484945046340096
1998-10-31,0.22686083207739385,0.024193286008762836,0.11156690782930873
1998-11-30,0.32073198739363057,0.01996481054230033,0.12605830799312867
1998-12-31,0.430831106955318,0.015910885377545772,0.1403042950187764
1999-01-31,0.3411519466861084,0.01916979991515404,0.12796977918014985
1999-02-28,0.3908225007219001,0.017844004247070604,0.11291873634339589
1999-03-31,0.4807491187990772,0.01547487837410916,0.09498856287030155
1999-04-30,0.4142013962872295,0.017821852621247917,0.08698235122185377
1999-05-31,0.4052415305814408,0.018438767350165686,0.07793575717231817
1999-06-30,0.4161287217732443,0.018717142872537323,0.06149008442326741
1999-07-31,0.6762994252386483,0.011170965133493131,0.0658368537564541
1999-08-31,0.5181326585819271,0.015178203705399898,0.06820279938611723
1999-09-30,0.41553277488827034,0.018519763050259753,0.06660414847298923
1999-10-31,0.49099557052509607,0.016040555844415487,0.06685638429462762
1999-11-30,0.5564504133989787,0.01360917653941543,0.08480424024416233
1999-12-31,0.670447931119531,0.01101460198083384,0.07727694658796352
2000-01-31,0.7658907797814624,0.009380516011142166,0.06269932316395521
2000-02-29,0.4878485867546521,0.015521382874500143,0.08578134623499795
2000-03-31,0.6158416011900728,0.011434352665388111,0.11735728803850043
2000-04-30,0.647833589241442,0.010392063976151708,0.13824391865680608
2000-05-31,0.414606082163651,0.01706309196227159,0.11272815157114258
2000-06-30,0.6659973897751255,0.010108006878998585,0.13178432401285056
2000-07-31,0.36548346072878957,0.01747325127551113,0.16525935408688763
2000-08-31,0.2879575569882908,0.019291860643291667,0.20875090017234227
2000-09-30,0.4245333891308277,0.01502879698824516,0.19920853723040588
2000-10-31,0.0946164700938211,0.02705778817112806,0.2224811788644916
2000-11-30,-0.02649840990959324,0.033073517478582254,0.23368255472992355
2000-12-31,-0.42647476949530677,0.06253170125360662,0.24162948670788958
2001-01-31,-0.5050283524269253,0.07442361131314475,0.1692684187813321
2001-02-28,-0.44535892782480946,0.06971596961458838,0.1458103791136493
2001-03-31,-0.8188585335893146,0.11936433188043144,0.12115348219033584
2001-04-30,-1.079316320478194,0.17483608138947998,0.06198548937114327
2001-05-31,-0.8904226330594677,0.14615377836157073,0.03853896833461569
2001-06-30,-1.1882508779825542,0.2052057849022778,0.037398556568507865
2001-07-31,-1.1537222476980313,0.19665365160384551,0.04026480650696184
2001-08-31,-1.223148957841356,0.2100748972761569,0.044688909620238255
2001-09-30,-1.8439327121957996,0.3806486580755217,0.02711300580648859
2001-10-31,-1.654567788968312,0.3330092239043928,0.019108753630222824
2001-11-30,-1.6917577828650174,0.35071875486791515,0.012523291025719195
2001-12-31,-1.6391644295198518,0.34789243912740986,0.005881602780646213
2002-01-31,-1.6024976086759553,0.3372463103532387,0.006006426845868139
2002-02-28,-1.4706031194933278,0.29757561274226163,0.0076755944654657545
2002-03-31,-1.3411883722348605,0.2694061058464845,0.005232050567982592
2002-04-30,-1.107406937135458,0.2137609804821774,0.005185698860166089
2002-05-31,-1.0581546113063214,0.202017738714728,0.0056137223209699535
2002-06-30,-0.9919586671923207,0.18507929232810683,0.0073076278804450456
2002-07-31,-1.0450282340808592,0.1924558257534864,0.009963575674971878
2002-08-31,-0.8727550736627381,0.154285109235485,0.014618022883595658
2002-09-30,-0.8231519623174784,0.14069735035446285,0.022653680512493262
2002-10-31,-0.9119787784360213,0.15797575289978638,0.0199186010684981
2002-11-30,-0.6206039034332187,0.1147095136560306,0.011834399215031589
2002-12-31,-0.655665927878195,0.12029254482608187,0.011456710752568109
2003-01-31,-0.48707078363094686,0.09667153136656448,0.010955196969637582
2003-02-28,-0.7327498905234213,0.1313774063999983,0.012929522733193803
2003-03-31,-0.6044965834869606,0.11096347005879237,0.01386967248664748
2003-04-30,-0.7290006652888781,0.13175894883904055,0.011662832433665057
2003-05-31,-0.5867046153271591,0.10670262276168124,0.016895479890361508
2003-06-30,-0.49745759664340766,0.09391715855379018,0.018512429709855116
2003-07-31,-0.45413713304024994,0.09413145381742016,0.008671194323000123
2003-08-31,-0.4818818148044921,0.10162262573775849,0.005117399508484857
2003-09-30,-0.18830759577008843,0.06608093312729385,0.0062537398618914995
2003-10-31,-0.06250108061484341,0.054742986077633775,0.006024083367634174
2003-11-30,0.044191074243585295,0.04625227346923401,0.006030640611591335
2003-12-31,0.17315878716012564,0.03746432989981495,0.005989473731657822
2004-01-31,0.04677448705011424,0.04556715015195263,0.006820059892322856
2004-02-29,0.264471517355725,0.031293839804590995,0.007821113537682334
2004-03-31,0.4121644474778161,0.023334027644927088,0.010781864159004942
2004-04-30,0.5083505212542366,0.020879439281860764,0.0057190412510829906
2004-05-31,0.5155411934721524,0.021362470964480126,0.003939844012390894
2004-06-30,0.352277314520413,0.027852487923441832,0.005322218761274283
2004-07-31,0.5299938858185794,0.019434187409262473,0.0078114816890689715
2004-08-31,0.42853645134939083,0.022383941070255337,0.012050104359258003
2004-09-30,0.48687694059522957,0.01926959847160458,0.017595491870758387
2004-10-31,0.45028983994957145,0.020256870421665883,0.020539898592236674
2004-11-30,0.3517021839604199,0.02361432672961292,0.025821816719353408
2004-12-31,0.6377084886922689,0.013636895213309389,0.0279987239123479
2005-01-31,0.6776305132688436,0.012337478733478721,0.032846413192870225
2005-02-28,0.7335979788140244,0.010632456176141466,0.04252650091275514
2005-03-31,0.39517893324589587,0.020786903155197066,0.03803169261598346
2005-04-30,0.5875032809878591,0.014062246751373375,0.04593362977882926
2005-05-31,0.4319539365914001,0.018305936146240386,0.05838672218187695
2005-06-30,0.7719674986825944,0.0090050295034518,0.07451768340747401
2005-07-31,0.611839597823177,0.012337782103742574,0.07914913513327654
2005-08-31,0.696926049882198,0.010189169990317184,0.0892064024487616
2005-09-30,0.41413363542858184,0.01766186535926897,0.09209753198565251
2005-10-31,0.48713018615568054,0.015295556739813237,0.09461763943424911
2005-11-30,0.7448473682765463,0.008998254233548707,0.10322081381021814
2005-12-31,0.5276269245454815,0.013812611858953135,0.10848212114891642
2006-01-31,0.7365503682044505,0.008549945220566043,0.1472154522145559
2006-02-28,0.6618111084786202,0.00990524224419074,0.15248182563473428
2006-03-31,0.91621439144385,0.00584411922198579,0.14556460230870583
2006-04-30,0.655911685288098,0.010366113472685852,0.12861138831781005
2006-05-31,0.590669646443457,0.011831043855587177,0.12817144391206198
2006-06-30,0.41585225404017806,0.016460822756522487,0.13630950024470145
2006-07-31,0.3651800162354188,0.017710074138842343,0.15443817826388417
2006-08-31,0.3130089525279535,0.01897753457187599,0.17958076000298506
2006-09-30,0.510804102514176,0.012980480480189481,0.1792395051383862
2006-10-31,0.2926085196282879,0.019455747717785264,0.19193649481270098
2006-11-30,0.1694548073906042,0.023898213194389967,0.21220968488294756
2006-12-31,0.27428179520784424,0.019897531658941887,0.20329420735123432
2007-01-31,0.03895425784492049,0.030589659671416997,0.1954461027397026
2007-02-28,0.031186151963385648,0.03065730048381807,0.207368848778252
2007-03-31,0.0211006628718014,0.030921295107291132,0.21708839154038062
2007-04-30,0.10237073750182564,0.02748705613115945,0.19141340071330282
2007-05-31,0.0937865556378322,0.02855623080590746,0.16893873715897284
2007-06-30,0.0366989317872527,0.033373481199837275,0.12016953808303771
2007-07-31,0.04217504662863617,0.03185213060184572,0.15102494062295568
2007-08-31,-0.1564707233138291,0.045948478215000886,0.12044982324042308
2007-09-30,-0.35374427682850346,0.06358383568638325,0.10590777165444237
2007-10-31,-0.18400096326264628,0.04890162936501108,0.10610176781374203
2007-11-30,-0.36463428080246574,0.06641649688772457,0.08567625497785858
2007-12-31,-0.5849117271871795,0.09312707927376906,0.07025469308233388
2008-01-31,-0.5260181470002547,0.08495626432945053,0.07691160904924742
2008-02-29,-0.7609323090395331,0.12325435191286394,0.04343731382377722
2008-03-31,-1.1318263706871166,0.20051552581276666,0.022283215436585898
2008-04-30,-1.1039103617919375,0.19655140623718387,0.019232225597703403
2008-05-31,-1.1446530569759537,0.2016435402265968,0.025046910745757996
2008-06-30,-1.2663921352317997,0.23039285445151775,0.022700710401884296
2008-07-31,-1.4730799172372733,0.2838009193813634,0.01945233736818031
2008-08-31,-1.7147234178827342,0.34534809992591264,0.024601342130717678
2008-09-30,-2.292929469998165,0.526560712200056,0.015826703271725757
2008-10-31,-3.357714416456864,0.8195566833182152,0.007930326954076647
2008-11-30,-3.747642731747765,0.8893906292174074,0.006146224712592562
2008-12-31,-4.090145117973273,0.924488196911413,0.018835743014058815
2009-01-31,-4.369044178677519,0.9505285317790357,0.01871816284909082
2009-02-28,-4.3847154730835,0.9527195132576848,0.015212483311222123
