,CCSA,ICSA,JTSJOL,MANEMP,PAYEMS,TEMPHELPS,UNRATE,AWHMAN,TCU,NEWORDER,DGORDER,IPMAN,INDPRO,UMCSENT,DSPIC96,W875RX1,CMRMTSPL,PCEC96,RSAFS,PERMIT,TTLCONS,HOUST,HSN1F,BAA10Y,NFCI,STLFSI4,BAMLH0A0HYM2,VIXCLS,T10Y2Y,T10Y3M
1972-06-30,0.2752355934347404,0.1635327290460886,,0.9748442891513109,0.8957815374337753,,0.13148077659975896,1.0986693219304957,1.19484705812411,,,,1.4792678316465666,,-0.2728572285411979,1.0665268961622136,1.000451681399645,,,0.5421420662794045,,0.4104757649700943,0.1872393849358521,,-0.11427175267617558,,,,,
1972-07-31,0.20326078790484886,0.07697273104615826,,0.8579754180928723,0.8263222411991317,,0.2715020046065592,0.7685248068882071,1.1155106698467052,,,,1.5214261501301913,,0.5517389282584118,1.2851450715159831,1.1373555461816072,,,0.1552093900406516,,0.26688165099359623,-0.30326988551194434,,-0.30644581410452104,,,,,
1972-08-31,0.3002480493235495,0.29527420228034157,,1.1784664244232452,1.0565763504532688,,0.341512618609959,1.2660137123386461,1.3535198346789163,,,,1.9902000361994736,0.8396410820755982,0.7731651611599606,1.5451563300313875,1.587923073552186,,,0.4618518202665839,,0.37052513492554157,0.7305489228902801,,-0.2408009587013574,,,,,
1972-09-30,0.3280153586376946,0.2761876647672662,,1.1663676314913924,0.9780300649422343,,0.341512618609959,1.434201147534742,1.4644792866964023,,,,1.794192784861081,,0.6940779360666369,1.5617559199854822,1.799729115623744,,,0.7743888297820027,,0.8816397494054566,0.9994736945719589,,0.02343211194053714,,,,,
1972-10-31,0.33647877847631613,0.2359623696031822,,1.4078948880490967,1.2129136512511438,,0.13148077659975896,1.2627162859266572,1.6752236946501433,,,,1.917821520341558,,1.539537538632563,2.1053852901594583,2.1442659327236364,,,0.608364593431871,,0.6629957959758677,1.3751833854631732,,0.1598331015645153,,,,,
1972-11-30,0.32373489131862976,0.2079069391457561,,1.522194870887231,1.265370180493737,,0.48153384661675924,1.095798500060564,1.8663810607200042,,,,2.0990434133268625,0.5114915170258306,1.885565254021017,2.24416742558825,2.2025251203644154,,,0.21648216358201472,,0.39673786215161105,0.04706761671517846,,0.22522740408446076,,,,,
1972-12-31,0.3185464663688909,0.1947325710998528,,1.7094144362701826,1.2786018027459483,,0.551544460620159,0.601631505643601,2.0421576578073095,,,,2.0894059695037317,,1.8597824399621006,2.2375426478717744,2.308327111014449,,,0.4835768315515937,,0.037361054246938204,0.4699863979034155,,0.2599540336985008,,,,,
1973-01-31,0.2850329117246218,0.2367613870829477,,1.7619639124545854,1.2800990563680448,,0.6215550746235589,0.27598603980046166,2.1317056604174467,,,1.6409266562103704,1.6955433737603525,,1.8529062279978221,1.7669643075595176,2.365790798413013,,,-0.0518750592082675,,-0.12793077806006076,0.4622810478348038,,-0.04186196942612104,,,,,
1973-02-28,0.30496111415881827,0.23680482251592475,,1.8448942614039785,1.3901035649687323,,0.48153384661675924,0.7604239728987962,2.3763029635288406,,,1.8129138376326237,1.7945478822114989,-0.13022318796038132,1.904414229830897,1.6901908390680938,2.701340307826978,,,-0.0001234021432032852,,-0.29732674786078955,0.05379907314449561,,-0.6682441774715754,,,,,
1973-03-31,0.3024679167123945,0.21623950591689103,,1.8317654508693115,1.366054575293592,,0.6215550746235589,0.7604239728987962,2.3121699712803223,,,1.711277583644608,1.6420817874523392,,1.8849794468860568,1.433744012638105,2.0999470762157153,,,-0.20969028054995686,,-0.04336549833073771,0.5312419001713787,,-1.1902460543683355,,,,,
1973-04-30,0.3065864931193887,0.17542957219178604,,1.7876190039343258,1.3316522383297609,,0.48153384661675924,0.43519048976821806,2.2033389947068827,,,1.4394934090961478,1.3723960975202851,,1.9525191277331921,1.4238667335090598,1.8111798092933011,,,-0.6025892085344609,,-0.4395604995047785,-0.2944147975401825,,-1.2445158088733936,,,,,
1973-05-31,0.29746596272361403,0.18604136584416303,,1.6836464237621696,1.2548056879287608,,0.551544460620159,0.2735738511646055,2.278266398135908,,,1.5421127415574558,1.5290175502813452,-0.4875416032367953,1.734827345416613,1.4024442983660237,1.5663493243908904,,,-0.41325080220466925,,-0.011453184104787639,-0.25217435848344816,,-1.148303501717612,,,,,
1973-06-30,0.2870697197029094,0.20769235224236263,,1.685022335553291,1.2173737514625278,,0.551544460620159,0.11155914202253692,2.230249005678011,,,1.4864572122495114,1.4984061904362072,,1.725922323985982,1.4356392629398924,1.4013291753058215,,,-0.3893422272814439,,-0.4834456314676507,-0.3947785919578243,,-1.187840746689441,,,,,
1973-07-31,0.3082650055664668,0.26164802634495415,,1.81499560641046,1.2635640148945657,,0.551544460620159,0.2735738511646055,2.2319467182345685,,,1.5853606312932467,1.6087984157267525,,1.533254522654462,1.3279028087314455,1.9183157920557514,,,-0.8866245906358983,,-0.36601901640726914,-0.7103657136295972,,-1.5501903263995755,,,,,
1973-08-31,0.20388111124558117,0.07351590446594222,,1.5551118676056097,1.1469253283730676,,0.551544460620159,-0.04965942604266322,2.1246867592507783,,,1.2507206017840504,1.251206283757653,-0.8521522310698704,1.0417758253591398,0.7443350421908118,0.7668157655466181,,,-1.0181800087813397,,-0.739482345677703,-1.4560320062447012,,-2.1028598762022406,,,,,
1973-09-30,0.1925270603921808,0.12487258776050553,,1.469181994980573,1.1350167132453417,,0.48153384661675924,0.11155914202253692,2.226422817677407,,,1.2721313542346055,1.251504489265759,,1.089257065825344,0.8044648376000044,0.5111428768386999,,,-1.4099016995853002,,-1.2227952740227623,-1.4599561454201684,,-2.4078328456554114,,,,,
1973-10-31,0.1703872092583204,0.12594601615372072,,1.419842119427093,1.0784506733688237,,0.6915656886269593,-0.21048187969001428,2.34027091494038,,,1.1790655283886395,1.1537233696245814,,0.46606227188260296,0.489279033028081,0.8033892737346198,,,-1.9154419451914992,,-1.5908404579453441,-1.763532245513895,,-2.3113699856164116,,,,,
1973-11-30,0.1316122042621977,0.07979196248087776,,1.3483443450717132,1.0797798486364216,,0.341512618609959,-0.21048187969001428,2.3685999095408716,,,1.055582959981194,0.9865122223473216,-0.5240026660201028,0.10299672468014712,0.28045569008301247,0.7300303250622073,,,-1.7890538098761097,,-1.4205005548617116,-1.396475716575648,,-2.1385386067725096,,,,,
